t_s,hb
12.226666,-0.015627
12.238333,0.091811
12.25,0.016122
12.261666,-0.019158
12.273334,0.018441
12.285,-0.007821
12.296666,-0.001863
12.308333,0.055282
12.32,0.067973
12.331667,-0.065569
12.343333,0.05622
12.355,-0.035242
12.366667,0.017257
12.378333,0.072455
12.389999,0.099573
12.401667,-0.084385
12.413333,0.068961
12.425,-0.043978
12.436666,0.019501
12.448333,0.044694
12.46,0.012449
12.471666,-0.012287
12.483334,0.008448
12.495,0.00275
12.506666,-0.017036
12.518333,0.076553
12.53,-0.003093
12.541666,-0.000415
12.553333,1.7e-05
12.565,0.006868
12.576667,-0.014671
12.588333,0.052179
12.599999,0.007448
12.611667,-0.010075
12.623333,0.008133
12.635,0.000189
12.646667,-0.009593
12.658333,0.046522
12.67,0.008772
12.681666,-0.010115
12.693334,0.008076
12.705,-0.00101
12.716666,-0.0059
12.728333,0.034559
12.74,0.009148
12.751666,-0.009871
12.763333,0.007955
12.775,-0.001076
12.786667,-0.006563
12.798333,0.039787
12.809999,0.008601
12.821667,-0.008495
12.833333,0.008442
12.845,0.002708
12.856667,-0.01385
12.868333,0.074258
12.88,-0.002809
12.891666,-0.003108
12.903333,0.003644
12.915,0.001499
12.926666,-0.00948
12.938334,0.041155
12.95,0.003283
12.961666,-0.006296
12.973333,0.006034
12.985,-0.002372
12.996667,-0.001232
13.008333,0.013706
13.02,0.001841
13.031667,-0.002623
13.043333,0.002209
13.055,-0.000324
13.066667,-0.002504
13.078333,0.015747
13.09,0.004952
13.101666,-0.005722
13.113333,0.005726
13.125,-0.001264
13.136666,-0.002979
13.148334,0.027396
13.16,0.006307
13.171666,-0.008143
13.183333,0.007389
13.195,-0.003056
13.206667,-0.002202
13.218333,0.023468
13.23,0.011806
13.241667,-0.0123
13.253333,0.010898
13.264999,-0.006154
13.276667,0.00289
13.288333,0.005682
13.3,0.003199
13.311666,-0.002884
13.323333,0.00213
13.335,-0.000471
13.346666,-0.001823
13.358334,0.014489
13.37,0.015171
13.381666,-0.015375
13.393333,0.013279
13.405,-0.004928
13.416666,-0.005289
13.428333,0.055314
13.44,0.033316
13.451667,-0.031502
13.463333,0.027408
13.474999,-0.012428
13.486667,-0.001248
13.498333,0.055841
13.51,0.014043
13.521667,-0.01665
13.533333,0.014276
13.545,-0.004317
13.556666,-0.008071
13.568334,0.060432
13.58,0.007808
13.591666,-0.010554
13.603333,0.01006
13.615,-0.004056
13.626666,-0.001763
13.638333,0.023585
13.65,0.002668
13.661667,-0.003617
13.673333,0.002708
13.684999,0.000586
13.696667,-0.00466
13.708333,0.020895
13.72,0.003529
13.731667,-0.004653
13.743333,0.00458
13.755,-0.002446
13.766666,0.001606
13.778333,-0.003588
13.79,-0.005837
13.801666,0.006576
13.813334,-0.006428
13.825,0.003608
13.836666,0.000353
13.848333,-0.022602
13.86,-0.062035
13.871667,0.061931
13.883333,-0.048736
13.895,0.02068
13.906667,0.006888
13.918333,-0.20161
13.929999,0.09122
13.941667,-0.065066
13.953333,0.046542
13.965,-0.043009
13.976666,0.050846
13.988333,-0.118604
14,0.040635
14.011666,-0.022991
14.023334,0.011
14.035,-0.011471
14.046666,0.018756
14.058333,-0.092164
14.07,-0.005797
14.081667,0.015811
14.093333,-0.020223
14.105,0.015521
14.116667,-0.00839
14.128333,-0.032514
14.139999,-0.034681
14.151667,0.037911
14.163333,-0.035852
14.175,0.025038
14.186666,-0.01318
14.198333,-0.048946
14.21,-0.066903
14.221666,0.064287
14.233334,-0.055022
14.245,0.036954
14.256666,-0.019186
14.268333,-0.051786
14.28,-0.078359
14.291666,0.071785
14.303333,-0.06147
14.315,0.037014
14.326667,-0.016728
14.338333,-0.0805
14.349999,-0.059034
14.361667,0.055249
14.373333,-0.045991
14.385,0.024721
14.396667,-0.001369
14.408333,-0.106465
14.42,-0.011108
14.431666,0.015861
14.443334,-0.016158
14.455,0.004218
14.466666,0.010684
14.478333,-0.089816
14.49,-0.013572
14.501666,0.018594
14.513333,-0.018318
14.525,0.007349
14.536667,0.005581
14.548333,-0.070068
14.559999,-0.022979
14.571667,0.025982
14.583333,-0.023601
14.595,0.012725
14.606667,-0.000807
14.618333,-0.048937
14.63,-0.03072
14.641666,0.031589
14.653333,-0.027049
